gid;versienr;kaartnr;datering;uitvoering;ulxw;ulyw;urxw;uryw;llxw;llyw;lrxw;lryw;ulxi;ulyi;urxi;uryi;llxi;llyi;lrxi;lryi;imgfn;breedte;hoogte;kleuren
95;95;F3;1943;Druk in zwart, blauw, groen en twee tinten bruin;-41150;21750;-38775;21750;-41150;19875;-38775;19875;458;10251;12908;10196;427;420;12846;381;B00000025351;13304;10573;zwart,blauw,groen,twee tinten bruin
73;73;E3;1943;Druk in zwart en blauw;-41150;23625;-38775;23625;-41150;21750;-38775;21750;503;10324;12906;10292;485;492;12873;478;B00000025330;13304;10686;zwart,blauw
100;100;F4;1943-1956;Druk in zwart en blauw;-38775;21750;-36400;21750;-38775;19875;-36400;19875;475;10299;12930;10307;495;494;12942;522;B00000025356;13433;10768;zwart,blauw
1;1;Bladwijzer (in de huidige vorm !!!);;;;29250;;29250;;27375;;27375;;;;;;;;;;;;
7;7;B4;1944-1954;Druk in zwart;-38775;29250;-36400;29250;-38775;27375;-36400;27375;538;10332;12993;10332;549;503;12993;515;B00000025264;13510;10864;zwart
12;12;B5;1942;Druk in zwart, blauw, groen en twee tinten bruin;-36400;29250;-34025;29250;-36400;27375;-34025;27375;404;10233;12799;10271;448;404;12848;464;B00000025269;13255;10623;zwart,blauw,groen,twee tinten bruin
13;13;B5;1942-1953;Druk in zwart;-36400;29250;-34025;29250;-36400;27375;-34025;27375;465;10329;12898;10335;485;494;12912;520;B00000025270;13417;10815;zwart
32;32;C4;1943;Druk in zwart en blauw;-38775;27375;-36400;27375;-38775;25500;-36400;25500;465;10262;12885;10264;463;440;12879;454;B00000025289;13336;10639;zwart,blauw
74;74;E3;1943;Druk in zwart, blauw, groen en twee tinten bruin;-41150;23625;-38775;23625;-41150;21750;-38775;21750;457;10293;12862;10295;460;464;12856;478;B00000025331;13287;10671;zwart,blauw,groen,twee tinten bruin
93;93;F3;1943;Druk in zwart. Geannoteerd;-41150;21750;-38775;21750;-41150;19875;-38775;19875;465;10258;12921;10220;447;426;12879;406;B00000025349;13353;10686;zwart
94;94;F3;1943;Druk in zwart en blauw;-41150;21750;-38775;21750;-41150;19875;-38775;19875;462;10256;12912;10236;457;420;12887;416;B00000025350;13336;10621;zwart,blauw
127;127;G5;1942;Druk in zwart en blauw;-36400;19875;-34025;19875;-36400;18000;-34025;18000;419;9194;11596;9170;399;357;11578;347;B00000025383;12039;9550;zwart,blauw
34;34;C5;1942;Druk in zwart en blauw;-36400;27375;-34025;27375;-36400;25500;-34025;25500;427;10244;12863;10226;425;470;12856;459;B00000025291;13304;10605;zwart,blauw
14;14;B5;1942-1953;Druk in zwart en blauw;-36400;29250;-34025;29250;-36400;27375;-34025;27375;502;10362;12931;10323;485;539;12917;523;B00000025271;13434;10784;zwart,blauw
21;21;B6;1942-1953;Druk in zwart en blauw. Geannoteerd;-34025;29250;-31650;29250;-34025;27375;-31650;27375;495;10279;12897;10298;506;477;12906;502;B00000025278;13417;10800;zwart,blauw
31;31;C4;1943;Druk in zwart. Geannoteerd;-38775;27375;-36400;27375;-38775;25500;-36400;25500;442;10251;12873;10258;457;430;12879;453;B00000025288;13319;10735;zwart
39;39;C6;1942;Druk in zwart;-34025;27375;-31650;27375;-34025;25500;-31650;25500;425;10253;12875;10234;423;456;12868;437;B00000025296;13272;10670;zwart
5;5;B4;1944-1945;Druk in zwart;-38775;29250;-36400;29250;-38775;27375;-36400;27375;424;10231;12852;10251;446;414;12874;440;B00000025262;13251;10654;zwart
6;6;B4;1944-1945;Druk in zwart en blauw;-38775;29250;-36400;29250;-38775;27375;-36400;27375;454;10211;12872;10226;473;390;12893;421;B00000025263;13301;10573;zwart,blauw
29;29;C3;1944-1945;Druk in zwart en blauw;-41150;27375;-38775;27375;-41150;25500;-38775;25500;436;10260;12861;10231;426;436;12839;421;B00000025286;13287;10686;zwart,blauw
50;50;C8;1944-1955;Druk in zwart;-29275;27375;-26900;27375;-29275;25500;-26900;25500;498;10343;12937;10349;498;540;12938;548;B00000025307;13441;10848;zwart
